| **Project / Role**                                                        | **Meta Tag (Stage)**   | **Domain Tags**                                  | **Years**      | **My Role**                             | **One-liner / Key Outcome**                                                                                        |
| ------------------------------------------------------------------------- | ---------------------- | ------------------------------------------------ | -------------- | --------------------------------------- | ------------------------------------------------------------------------------------------------------------------ |
| RTIMS International Study Tour (Real-Time Information Management Systems) | Ongoing / Active       | Innovation, Technology, International, Learning  | 2025 – Present | Project Director                        | Coordinating executive stakeholder focus group, site engagements, learning reports, and business case development. |
| National Advisory Council on Innovation – Science Parks Subcommittee      | Advisory / Board       | Innovation, Policy, Science Parks                | 2025 – Present | Subcommittee Member                     | Advising on national science and innovation park strategies and frameworks.                                        |
| Advertising Analytics Advisory Board                                      | Advisory / Board       | Marketing, Analytics, Data                       | 2023 – Present | Advisory Board Member                   | Advising on analytics-driven strategy and product positioning.                                                     |
| SA Innovation Summit – Ecosystem Platform                                 | Ongoing / Active       | Innovation, Ecosystem, Partnerships, Events      | 2020 – Present | CEO / Ecosystem Lead                    | Scaled multi-stakeholder platform; 15,000+ attendees; multi-year sponsorship runway of \$2M+.                      |
| Johannesburg Culinary Advisory Board                                      | Advisory / Board       | Food, Culture, Ecosystem                         | 2023 – 2025    | Advisory Board Member                   | Providing strategic guidance to Johannesburg’s culinary innovation ecosystem.                                      |
| Startup20 Taskforce                                                       | Advisory / Board       | Startups, Policy, International                  | 2025           | Member                                  | Representing and contributing to Startup20 global innovation policy dialogue.                                      |
| SA–Switzerland Blockchain & CleanTech Innovation Challenges               | Completed / Case Study | Innovation, CleanTech, Blockchain, International | 2022 – 2024    | Project Director                        | Directed two-year bilateral innovation challenges bridging Swiss and South African ecosystems.                     |
| TechTribe Accelerator – Virtual Program                                   | Completed / Case Study | Acceleration, Startups, Mentorship, Virtual      | 2020 – 2024    | Co-Founder / Program Director           | Supported 3,500 startups; \$20M+ raised; mentored 200+ founders.                                                   |
| Africa’s Business Heroes – Southern Africa Anchor Partnership             | Completed / Case Study | Partnerships, Startups, Investment, Ecosystem    | 2021 – 2023    | Project Manager → Project Director      | Led partnership delivery; supported African founders through ABH platform.                                         |
| AndAfrica Investment Platform                                             | Completed / Case Study | Investment, Platform, International, SaaS        | 2018 – 2019    | Executive / Platform Builder            | Raised \$100K seed funding; built cross-continental SaaS investment bridge.                                        |
| Mining Innovation Project                                                 | Completed / Case Study | Innovation, Strategy, Mining, Consulting         | 2017           | Senior Strategy & Innovation Consultant | Delivered strategic innovation; unlocked 5x forecasted return.                                                     |
